school_name,district_name,city,state,admin_approved
Path Academy,MIAMI-DADE,MIAMI,FL,true
Floral Crest School,,Bryant,AL,false
Roxana Junior High School,Roxana CUSD 1,Roxana,IL,false
Doe Run El Sch,Manheim Central SD,Manheim,PA,false
Iltexas Garland H S,International Leadership of Texas (Iltexas),Garland,TX,true
Jefferson High,Jefferson Union High,Daly City,CA,true
Westside H S,Houston Isd,Houston,TX,true
Windsor High,Isle of Wight County Public Schools,Windsor,VA,false
"Monroe Jr, Sr High Schools of Fairbanks",,Fairbanks,AK,false
Anchorage Junior Academy,,Anchorage,AK,false
Washington High,Fremont Unified,Fremont,CA,false
Bradley-Bourbonnais C High School,Bradley Bourbonnais CHSD 307,Bradley,IL,true
ROYALS RSSP Carthage,Hancck/Fultn/Schuylr/McDonogh ROE,Carthage,IL,true
ROYALS RSSP Macomb,Hancck/Fultn/Schuylr/McDonogh ROE,Macomb,IL,false
Royerton Elementary School,Delaware Community School Corp,Muncie,IN,false
E Monroe New Renaissance Basketball,E Monroe New Renaissance Basketball,Bronx,NY,true
Dohron Wilson Elementary School,Mechanicsburg Exempted Village,Mechanicsburg,OH,false
Dolores Huerta Es,Tulsa,Tulsa,OK,false
Premier H S of Amarillo,Premier High Schools,Lewisville,TX,true
Bassett High,Henry County Public Schools,Bassett,VA,true
Amazing Grace Academy,,Palmer,AK,false
Dillingham Adventist School,,Dillingham,AK,false
Juneau Sda Christian School,,Juneau,AK,false
Lourdes Catholic School,,Nogales,AZ,false
St Charles Apache Mission School,,San Carlos,AZ,false
Kino Learning Center,,Tucson,AZ,false
Our Mother of Sorrows Catholic School,,Tucson,AZ,false
Salpointe Catholic High School,,Tucson,AZ,false
San Xavier Mission School,,Tucson,AZ,false
Santa Cruz Catholic School,,Tucson,AZ,false
St John the Evangelist Catholic School,,Tucson,AZ,false
Edison High,Fairfax County Public Schools,Alexandria,VA,false
Dominion Middle School,Columbus City Schools District,Columbus,OH,true
Don Gill El Sch,Wellsboro Area SD,Wellsboro,PA,false
Immaculate Conception Catholic School,,Yuma,AZ,false
Mary Passage Middle,Newport News City Public Schools,Newport News,VA,false
Fairview Accelerated,Robert Lee Isd,San Angelo,TX,false
Roy Elem School,Mannheim SD 83,Northlake,IL,false
St Francis of Assisi School,,Yuma,AZ,false
Nome Youth Facility,Nome Public Schools,Nome,AK,false
Fairview 6-8,Fairview Elem,Fairview,MT,false
Choctaw Hs,Choctaw-Nicoma Park,Choctaw,OK,false
Donald E. Schick Sch,Loyalsock Township SD,Montoursville,PA,false
Donaldson Elem Sch,West Allegheny SD,Oakdale,PA,false
Donegal El Sch,Mount Pleasant Area SD,Jones Mills,PA,false
Fairview Accelerated,Grape Creek Isd,San Angelo,TX,true
Hunter High,Granite District,West Valley City,UT,false
Jasper H S,Plano Isd,Plano,TX,false
Lexington Two Innovation Center,Lexington 02,Cayce,SC,true
Vista Ridge H S,Leander Isd,Leander,TX,false
Loretto Catholic School,,Douglas,AZ,false
St Anthony of Padua Catholic School,,Casa Grande,AZ,false
Queen of Peace Catholic School,,Mesa,AZ,false
Our Lady of Mount Carmel School,,Tempe,AZ,false
Our Lady of Perpetual Help Catholic School,,Scottsdale,AZ,false
Sacred Heart Catholic School,,Prescott,AZ,false
Xavier College Preparatory,,Phoenix,AZ,false
St Vincent De Paul Catholic Elementary School,,Phoenix,AZ,false
St Thomas the Apostle School,,Phoenix,AZ,false
St Theresa Catholic School,,Phoenix,AZ,false
St Mary's Catholic High School,,Phoenix,AZ,false
St Jerome Elementary School,,Phoenix,AZ,false
Donnelsville Elementary School,Tecumseh Local,Donnelsville,OH,false
Royal Elementary School,Hawaii Department of Education,Honolulu,HI,false
Dr Ronald McNair High School,Jersey City Public Schools,Jersey City,NJ,true
Mary Ryan Academy,Jefferson County,Louisville,KY,true
Wilson High,Long Beach Unified,Long Beach,CA,true
St Gregory Elementary School,,Phoenix,AZ,false
Deer Park H S,Deer Park Isd,Deer Park,TX,true
El Dorado H S,Socorro Isd,El Paso,TX,true
Fairview Accelerated,Ballinger Isd,Ballinger,TX,false
St Catherine of Siena Catholic School,,Phoenix,AZ,false
Mary Persons High School,Monroe County,Forsyth,GA,false
ROYALS Academy Canton,Hancck/Fultn/Schuylr/McDonogh ROE,Canton,IL,true
ROYALS Academy Carthage,Hancck/Fultn/Schuylr/McDonogh ROE,Carthage,IL,false
ROYALS Academy Macomb,Hancck/Fultn/Schuylr/McDonogh ROE,Macomb,IL,true
ROYALS RSSP Canton,Hancck/Fultn/Schuylr/McDonogh ROE,Canton,IL,false
St Agnes Catholic School,,Phoenix,AZ,false
Donovan  Elementary School,Lebanon City,Lebanon,OH,false
Dormont El Sch,Keystone Oaks SD,Pittsburgh,PA,false
Dorothy E Lewis Elementary School,Solon City,Solon,OH,false
Dorr Street Elementary School,Springfield Local,Toledo,OH,false
Fairview Accelerated,Sterling City Isd,San Angelo,TX,false
Livingston H S,Livingston Isd,Livingston,TX,true
Orangeburg Wilkinson High,Orangeburg,Orangeburg,SC,false
Randolph H S,Randolph Field Isd,Universal City,TX,false
Ss Simon and Jude Cathedral School,,Phoenix,AZ,false
Most Holy Trinity Catholic Elementary School,,Phoenix,AZ,false
Brophy College Preparatory,,Phoenix,AZ,false
Bourgade Catholic High School,,Phoenix,AZ,false
St Louis the King School,,Glendale,AZ,false
Our Lady of Perpetual Help Catholic School,,Glendale,AZ,false
Seton Catholic Preparatory High School,,Chandler,AZ,false
St Mary-Basha Catholic School,,Chandler,AZ,false
Native American Christian Academy,,Sun Valley,AZ,false
Primavera School,,Prescott,AZ,false
Paradise Valley Christian Preparatory,,Phoenix,AZ,false
Arlington High,Riverside Unified,Riverside,CA,true
Fairview Accelerated,Wall Isd,Wall,TX,false
Royston Elementary School,Franklin County,Royston,GA,false
Phoenix Christian Preparatory School,,Phoenix,AZ,false
Navajo Mission Preparatory School,,Rock Point,AZ,false
Douglas Gardens Elementary School,Springfield SD 19,Springfield,OR,false
All Saints' Episcopal Day School,,Phoenix,AZ,false
Dove Science Academy Es,Dove Schools of Okc (Charter),Warr Acres,OK,false
New Way Academy,,Phoenix,AZ,false
Central H S,Keller Isd,Keller,TX,false
Comm H S Dist 99 - North H S,Chsd 99,Downers Grove,IL,true
Rudolph Elem Learning Center,Chicago Public Schools Dist 299,Chicago,IL,false
Rulon M Ellis Elementary School,Pocatello District,Chubbuck,ID,false
Rupert Elementary School,Minidoka County Joint District,Rupert,ID,false
Fairview Accelerated,Veribest Isd,San Angelo,TX,false
Fairview Accelerated,Christoval Isd,Christoval,TX,false
Fairview Accelerated Daep,Wall Isd,San Angelo,TX,false
Edison High School Academy,Fairfax County Public Schools,Alexandria,VA,false
Mary Walker Alternative Learning Experience,Mary Walker School District,Springdale,WA,true
Dove Science Academy Middle School South OKC,Dove Schools of Okc (Charter),OKlahoma City,OK,true
Faith Lutheran School,,Tucson,AZ,false
Christ Lutheran School,,Phoenix,AZ,false
Yuma Lutheran School,,Yuma,AZ,false
East Fork Lutheran School,,Whiteriver,AZ,false
Emmanuel Lutheran School,,Tempe,AZ,false
Verde Valley School,,Sedona,AZ,false
Gompers Private School,,Phoenix,AZ,false
Redeemer Lutheran School,,Tucson,AZ,false
Scottsdale Christian Academy,,Phoenix,AZ,false
Grace Lutheran School,,Glendale,AZ,false
Tri-City Christian Academy,,Chandler,AZ,false
Immanuel Mission School,,Teec Nos Pos,AZ,false
St Michaels Assoc for Sp Ed,,Saint Michaels,AZ,false
Emmaus Lutheran School,,Phoenix,AZ,false
Glenview Adventist Academy,,Phoenix,AZ,false
Fairview Daep,Water Valley Isd,San Angelo,TX,false
Dove Science Academy South Okc,Dove Schools of Okc (Charter),Oklahoma City,OK,true
Holbrook Seventh-Day Adventist Indian School,,Holbrook,AZ,false
Thunderbird Adventist Academy,,Scottsdale,AZ,false
Fairview High School,Boulder Valley School District No. Re2,Boulder,CO,false
Rupley Elem School,Comm Cons SD 59,Elk Grove Village,IL,false
Our Lady of Fatima Catholic School,,Benton,AR,false
B. T. Washington High,Memphis-Shelby County Schools,Memphis,TN,true
Fairview High School,Fairview Independent,Ashland,KY,true
Cape May City Elementary School,Cape May City School District,Cape May,NJ,false
Capital Academy,Office of Education Department of Children and Families,Mt Holly,NJ,false
Fairview Daep,Robert Lee Isd,San Angelo,TX,false
Fairview Daep,Miles Isd,San Angelo,TX,false
Liberty-Eylau H S,Liberty-Eylau Isd,Texarkana,TX,true
Shepherd Middle,Shepherd Isd,Shepherd,TX,true
Caroline High,Caroline County Public Schools,Milford,VA,true
Mary Walker High School,Mary Walker School District,Springdale,WA,true
Westfield High,Fairfax County Public Schools,Chantilly,VA,false
Dove Science Academy Ms,Dove Schools of Okc (Charter),Warr Acress,OK,true
Subiaco Academy,,Subiaco,AR,false
St John Catholic School,,Russellville,AR,false
St Theresa Catholic School,,Little Rock,AR,false
Catholic High School for Boys,,Little Rock,AR,false
Blessed Sacrament Catholic School,,Jonesboro,AR,false
St Johns Catholic School,,Hot Springs,AR,false
Immaculate Conception Catholic School,,Fort Smith,AR,false
Christ the King Catholic School,,Fort Smith,AR,false
North Little Rock Catholic Academy,,North Little Rock,AR,false
Immaculate Conception School,,North Little Rock,AR,false
Mt St Mary Academy,,Little Rock,AR,false
St Mary's Catholic School & Preschool,,Paragould,AR,false
St Paul Catholic School,,Pocahontas,AR,false
St Joseph Catholic School,,Paris,AR,false
Riverview Baptist Christian School,,Morrilton,AR,false
Richland H S,Birdville Isd,North Richland Hills,TX,true
Dove Science Academy Tulsa,Dove Schools of Tulsa (Charter),Tulsa,OK,true
Calvary Christian School,,Forrest City,AR,false
Diamond Bar High,Walnut Valley Unified,Diamond Bar,CA,false
St John's Lutheran School,,Stuttgart,AR,false
Rushville Consolidated High School,Rush County Schools,Rushville,IN,true
Shepherd Middle School,Shepherd Public Schools,Shepherd,MI,true
Rrisd Early College H S,Round Rock Isd,Round Rock,TX,false
Marshall High,Fairfax County Public Schools,Falls Church,VA,false
Desoto School,,West Helena,AR,false
Colonial High,Orange,Orlando,FL,true
Rushville Elementary School,Rush County Schools,Rushville,IN,false
Rushville-Industry High School,Schuyler-Industry CUSD 5,Rushville,IL,false
West Columbus High,Columbus County Schools,Cerro Gordo,NC,true
East Pennsboro El Sch,East Pennsboro Area SD,Enola,PA,false
East Petersburg El Sch,Hempfield SD,East Petersburg,PA,false
East Pike El Sch,Indiana Area SD,Indiana,PA,false
O'connor H S,Northside Isd,Helotes,TX,false
Wheeler School,Wheeler Isd,Wheeler,TX,true
