school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Downtown Denver Expeditionary School,School District No. 1 in the county of Denver and State of C,Denver,263,90,Yes under Community Eligibility Option (CEO),false
Dr. Martin Luther King Jr. Early College,School District No. 1 in the county of Denver and State of C,Denver,1027,811,Yes under Community Eligibility Option (CEO),true
Drake Junior High School,Jefferson County School District No. R-1,Arvada,1002,189,Yes under Community Eligibility Option (CEO),false
Dry Creek Elementary School,Cherry Creek School District No. 5 in the county of Arapah,Englewood,269,54,Yes under Community Eligibility Option (CEO),false
Dsst: Cedar High School,School District No. 1 in the county of Denver and State of C,Denver,546,312,Yes participating without using any Provision or the CEO,false
Dsst: Cedar Middle School,School District No. 1 in the county of Denver and State of C,Denver,485,245,Yes under Community Eligibility Option (CEO),true
Dsst: Cole High School,School District No. 1 in the county of Denver and State of C,Denver,287,236,Yes under Community Eligibility Option (CEO),true
Dsst: Cole Middle School,School District No. 1 in the county of Denver and State of C,Denver,282,243,Yes under Community Eligibility Option (CEO),true
Dsst: College View High School,School District No. 1 in the county of Denver and State of C,Denver,533,457,Yes under Community Eligibility Option (CEO),true
Dsst: College View Middle School,School District No. 1 in the county of Denver and State of C,Denver,446,385,Yes under Community Eligibility Option (CEO),true
Dsst: Conservatory Green High School,School District No. 1 in the county of Denver and State of C,Denver,556,388,Yes under Community Eligibility Option (CEO),false
Dsst: Conservatory Green Middle School,School District No. 1 in the county of Denver and State of C,Denver,468,322,Yes under Community Eligibility Option (CEO),true
Dsst: Elevate Northeast High School,School District No. 1 in the county of Denver and State of C,Denver,545,419,Yes under Community Eligibility Option (CEO),false
Dsst: Elevate Northeast Middle School,School District No. 1 in the county of Denver and State of C,Denver,451,364,Yes under Community Eligibility Option (CEO),true
Dsst: Green Valley Ranch High School,School District No. 1 in the county of Denver and State of C,Denver,562,415,Yes under Community Eligibility Option (CEO),true
Dsst: Green Valley Ranch Middle School,School District No. 1 in the county of Denver and State of C,Denver,482,385,Yes under Community Eligibility Option (CEO),true
Dsst: Montview High School,School District No. 1 in the county of Denver and State of C,Denver,562,393,Yes under Community Eligibility Option (CEO),false
Dsst: Montview Middle School,School District No. 1 in the county of Denver and State of C,Denver,463,356,Yes under Community Eligibility Option (CEO),true
Dual Immersion Academy School,Mesa County Valley School District No. 51,Grand Junction,310,290,Yes under Community Eligibility Option (CEO),false
Dunn Elementary School,Poudre School District R-1,Fort Collins,392,120,Yes under Community Eligibility Option (CEO),false
Dunstan Middle School,Jefferson County School District No. R-1,Lakewood,798,225,Yes under Community Eligibility Option (CEO),false
Dupont Elementary School,School District N. 14 in the county of Adams & State of Colo,Commerce City,488,425,Yes under Community Eligibility Option (CEO),false
Durango Big Picture High School,Durango School District No. 9-R,Durango,99,56,Yes under Community Eligibility Option (CEO),false
Durango High School,Durango School District No. 9-R,Durango,1352,407,Yes participating without using any Provision or the CEO,false
Dutch Creek Elementary School,Jefferson County School District No. R-1,Littleton,286,100,Yes under Community Eligibility Option (CEO),false
Eads Elementary School,Kiowa County School District No. Re-1,Eads,119,83,Yes under Community Eligibility Option (CEO),false
Eads High School,Kiowa County School District No. Re-1,Eads,48,30,Yes under Community Eligibility Option (CEO),false
Eads Middle School,Kiowa County School District No. Re-1,Eads,44,27,Yes under Community Eligibility Option (CEO),false
Eagle Academy,Douglas County School District No. Re 1,Lone Tree,115,,No,false
Eagle County Charter Academy,Eagle County School District No. Re 50,Edwards,360,49,Yes participating without using any Provision or the CEO,false
Eagle Crest Elementary School,St. Vrain Valley School District No. Re1J,Longmont,421,189,Yes under Community Eligibility Option (CEO),false
Eagle Ridge Academy,School District 27J,Brighton,593,241,Yes under Community Eligibility Option (CEO),false
Eagle Ridge Elementary School,Douglas County School District No. Re 1,Lone Tree,571,176,Yes under Community Eligibility Option (CEO),false
Eagle Valley Elementary School,Eagle County School District No. Re 50,Eagle,350,141,Yes under Community Eligibility Option (CEO),false
Eagle Valley High School,Eagle County School District No. Re 50,Gypsum,980,350,Yes participating without using any Provision or the CEO,false
Eagle Valley Middle School,Eagle County School District No. Re 50,Eagle,340,91,Yes participating without using any Provision or the CEO,false
Eaglecrest High School,Cherry Creek School District No. 5 in the county of Arapah,Centennial,2851,1001,Yes under Community Eligibility Option (CEO),false
Eagleside Elementary School,Fountain School District No. 8 in the county of El Paso an,Fountain,332,128,Yes under Community Eligibility Option (CEO),false
Eagleton Elementary School,School District No. 1 in the county of Denver and State of C,Denver,317,276,Yes under Community Eligibility Option (CEO),false
Eagleview Elementary School,Adams 12 Five Star Schools,Thornton,451,177,Yes under Community Eligibility Option (CEO),false
Eagleview Middle School,Academy School District No. 20 in the county of El Paso an,Colorado Springs,905,173,Yes participating without using any Provision or the CEO,false
Early Childhood Center,Douglas County School District No. Re 1,Castle Rock,110,,No,false
