school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Science and Technology Magnet Pathway for High School Grades,New London School District,New London,171,134,Yes under Community Eligibility Option (CEO)
Science and Technology Magnet Pathway for Middle Grades,New London School District,New London,133,110,Yes under Community Eligibility Option (CEO)
Scofield Middle School,Stamford School District,Stamford,622,306,Yes under Community Eligibility Option (CEO)
Scotland Elementary School,Ridgefield School District,Ridgefield,318,13,Yes participating without using any Provision or the CEO
Scotland Elementary School,Scotland School District,Scotland,95,38,Yes under Community Eligibility Option (CEO)
Scotts Ridge Middle School,Ridgefield School District,Ridgefield,548,36,Yes participating without using any Provision or the CEO
Second Hill Lane School,Stratford School District,Stratford,610,302,Yes under Community Eligibility Option (CEO)
Sedgwick Middle School,West Hartford School District,West Hartford,874,284,Yes participating without using any Provision or the CEO
Seth G. Haley School,West Haven School District,West Haven,332,174,Yes under Community Eligibility Option (CEO)
Seymour High School,Seymour School District,Seymour,604,307,Yes participating without using any Provision or the CEO
Seymour Middle School,Seymour School District,Seymour,494,255,Yes participating without using any Provision or the CEO
Sharon Center School,Sharon School District,Sharon,97,31,Yes participating without using any Provision or the CEO
Shelter Rock School,Danbury School District,Danbury,527,313,Yes under Community Eligibility Option (CEO)
Shelton High School,Shelton School District,Shelton,1308,491,Yes participating without using any Provision or the CEO
Shepard Hill Elementary School,Plainfield School District,Plainfield,392,238,Yes participating without using any Provision or the CEO
Shepaug Valley School,Regional School District 12,Washington,486,89,Yes participating without using any Provision or the CEO
Shepherd Glen School,Hamden School District,Hamden,303,170,Yes under Community Eligibility Option (CEO)
Sherman School,Fairfield School District,Fairfield,385,31,Yes participating without using any Provision or the CEO
Sherman School,Sherman School District,Sherman,229,14,No
Side by Side Charter School,Side By Side Charter School District,Norwalk,236,143,Yes under Community Eligibility Option (CEO)
Silas Deane Middle School,Wethersfield School District,Wethersfield,546,155,Yes under Community Eligibility Option (CEO)
Silver Lane School,East Hartford School District,East Hartford,203,162,Yes under Community Eligibility Option (CEO)
Silvermine Dual Language Magnet School,Norwalk School District,Norwalk,428,247,Yes under Community Eligibility Option (CEO)
Simsbury High School,Simsbury School District,Simsbury,1187,213,Yes participating without using any Provision or the CEO
Six-Six Magnet School,Cooperative Educational Services,Bridgeport,441,197,Yes under Community Eligibility Option (CEO)
Skinner Road School,Vernon School District,Vernon,340,179,Yes under Community Eligibility Option (CEO)
Slade Middle School,New Britain School District,New Britian,781,592,Yes under Community Eligibility Option (CEO)
Smalley Elementary School,New Britain School District,New Britain,594,512,Yes under Community Eligibility Option (CEO)
Smith Elementary School,New Britain School District,New Britain,461,370,Yes under Community Eligibility Option (CEO)
Smith Middle School,Glastonbury School District,Glastonbury,875,121,Yes participating without using any Provision or the CEO
Smith School,West Hartford School District,West Hartford,342,187,Yes participating without using any Provision or the CEO
Snow School,Middletown School District,Middletown,340,194,Yes under Community Eligibility Option (CEO)
Somers Elementary School,Somers School District,Somers,645,36,No
Somers High School,Somers School District,Somers,359,19,No
Sound School,New Haven School District,New Haven,332,180,Yes under Community Eligibility Option (CEO)
South Elementary School,Windsor Locks School District,Windsor Locks,285,145,Yes under Community Eligibility Option (CEO)
South End Elementary School,Southington School District,Plantsville,243,72,Yes participating without using any Provision or the CEO
South Norwalk Elementary School,Norwalk School District,Norwalk,179,131,Yes under Community Eligibility Option (CEO)
South School,New Canaan School District,New Canaan,477,,No
South Side School,Bristol School District,Bristol,515,300,Yes under Community Eligibility Option (CEO)
South Street School,Danbury School District,Danbury,372,217,Yes under Community Eligibility Option (CEO)
South Windsor High School,South Windsor School District,South Windsor,1442,281,Yes participating without using any Provision or the CEO
Southington High School,Southington School District,Southington,1905,489,Yes participating without using any Provision or the CEO
Southwest School,Torrington School District,Torrington,289,197,Yes under Community Eligibility Option (CEO)
Spencer School,Middletown School District,Middletown,237,150,Yes under Community Eligibility Option (CEO)
Sport and Medical Sciences Academy,Hartford School District,Hartford,463,390,Yes under Community Eligibility Option (CEO)
Sprague School,Waterbury School District,Waterbury,344,305,Yes under Community Eligibility Option (CEO)
Spring Glen School,Hamden School District,Hamden,347,77,Yes participating without using any Provision or the CEO
Springdale School,Stamford School District,Stamford,565,318,Yes under Community Eligibility Option (CEO)
Squadron Line School,Simsbury School District,Simsbury,710,80,Yes participating without using any Provision or the CEO
Stadley Rough School,Danbury School District,Danbury,479,264,Yes under Community Eligibility Option (CEO)
Stafford Elementary School,Stafford School District,Stafford Springs,438,178,Yes under Community Eligibility Option (CEO)
Stafford High School,Stafford School District,Stafford Springs,357,140,Yes under Community Eligibility Option (CEO)
Stafford Middle School,Stafford School District,Stafford Springs,285,121,Yes under Community Eligibility Option (CEO)
Stafford School,Bristol School District,Bristol,353,198,Yes under Community Eligibility Option (CEO)
Stamford Charter School for Excellence,Stamford Charter School for Excellence District,Stamford,543,302,Yes under Community Eligibility Option (CEO)
Stamford High School,Stamford School District,Stamford,2102,1127,Yes under Community Eligibility Option (CEO)
Staples High School,Westport School District,Westport,1629,49,No
STEM Magnet at Annie Fisher School,Hartford School District,Hartford,348,220,Yes under Community Eligibility Option (CEO)
Stepney Elementary School,Monroe School District,Monroe,512,104,Yes participating without using any Provision or the CEO
Sterling Community School,Sterling School District,Sterling,301,133,Yes under Community Eligibility Option (CEO)
Stillmeadow School,Stamford School District,Stamford,587,317,Yes under Community Eligibility Option (CEO)
Stonington High School,Stonington School District,Pawcatuck,543,133,Yes participating without using any Provision or the CEO
Stonington Middle School,Stonington School District,Pawcatuck,366,103,Yes participating without using any Provision or the CEO
Stratfield School,Fairfield School District,Fairfield,326,37,Yes participating without using any Provision or the CEO
Stratford High School,Stratford School District,Stratford,1150,592,Yes participating without using any Provision or the CEO
Strawberry Hill an Ext. of Rogers International,Stamford School District,Stamford,799,364,Yes under Community Eligibility Option (CEO)
Suffield High School,Suffield School District,West Suffield,641,110,Yes participating without using any Provision or the CEO
Suffield Middle School,Suffield School District,Suffield,443,71,Yes participating without using any Provision or the CEO
Sunnyside School,Shelton School District,Shelton,229,117,Yes participating without using any Provision or the CEO
Sunset Ridge Middle School,East Hartford School District,East Hartford,334,146,Yes under Community Eligibility Option (CEO)
Swift Middle School,Watertown School District,Oakville,591,262,Yes participating without using any Provision or the CEO
Tariffville School,Simsbury School District,Tariffville,236,77,Yes participating without using any Provision or the CEO
Tashua School,Trumbull School District,Trumbull,394,53,Yes participating without using any Provision or the CEO
Teachers' Memorial Global Studies Magnet Middle School,Norwich School District,Norwich,447,368,Yes under Community Eligibility Option (CEO)
Terryville High School,Plymouth School District,Terryville,337,183,Yes participating without using any Provision or the CEO
Thames River Magnet School,Groton School District,Groton,501,372,Yes under Community Eligibility Option (CEO)
The Academy of Information Technology & Engineering,Stamford School District,Stamford,658,317,Yes under Community Eligibility Option (CEO)
The Bridge Academy,The Bridge Academy District,Bridgeport,281,240,Yes under Community Eligibility Option (CEO)
The Bridge at Aces,Area Cooperative Educational Services,Hamden,32,23,Yes under Community Eligibility Option (CEO)
The Burnham School,Regional School District 12,Bridgewater,68,17,Yes participating without using any Provision or the CEO
The Friendship School,Learn,Waterford,460,307,Yes participating without using any Provision or the CEO
The Gilbert School,The Gilbert School District,Winsted,452,255,Yes under Community Eligibility Option (CEO)
The Morgan School,Clinton School District,Clinton,473,189,Yes participating without using any Provision or the CEO
The Woodstock Academy,The Woodstock Academy District,Woodstock,1011,45,No
Thomas Hooker School,Bridgeport School District,Bridgeport,288,236,Yes under Community Eligibility Option (CEO)
Thomas Hooker School,Meriden School District,Meriden,404,240,Yes under Community Eligibility Option (CEO)
Thomas W. Mahan School,Norwich School District,Norwich,257,186,Yes under Community Eligibility Option (CEO)
Thomaston Center School,Thomaston School District,Thomaston,196,91,Yes participating without using any Provision or the CEO
Thomaston High School,Thomaston School District,Thomaston,307,110,Yes participating without using any Provision or the CEO
Thompson Brook School,Avon School District,Avon,497,55,Yes participating without using any Provision or the CEO
Thompson Middle School,Thompson School District,North Grosvenordale,262,121,Yes participating without using any Provision or the CEO
Three Rivers Middle College Magnet School,Learn,Norwich,92,45,Yes participating without using any Provision or the CEO
Timothy Edwards School,South Windsor School District,South Windsor,1221,218,Yes participating without using any Provision or the CEO
Tokeneke Elementary School,Darien School District,Darien,439,7,No
Tolland High School,Tolland School District,Tolland,639,105,Yes participating without using any Provision or the CEO
Tolland Intermediate School,Tolland School District,Tolland,483,79,Yes participating without using any Provision or the CEO
Tolland Middle School,Tolland School District,Tolland,468,80,Yes participating without using any Provision or the CEO
Tomlinson Middle School,Fairfield School District,Fairfield,584,177,Yes participating without using any Provision or the CEO
