school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Kipp Dc - Heights Academy PCS,Kipp Dc PCS,Washington,408,,Yes under Community Eligibility Option (CEO),false
Kipp Dc - Honor Academy PCS,Kipp Dc PCS,Washington,328,,Yes under Community Eligibility Option (CEO),false
Kipp Dc - Inspire Academy PCS,Kipp Dc PCS,Washington,314,,Yes under Community Eligibility Option (CEO),false
Kipp Dc - Key Academy PCS,Kipp Dc PCS,Washington,422,,Yes under Community Eligibility Option (CEO),true
Kipp Dc - Lead Academy PCS,Kipp Dc PCS,Washington,343,,Yes under Community Eligibility Option (CEO),false
Kipp Dc - Leap Academy PCS,Kipp Dc PCS,Washington,221,,Yes under Community Eligibility Option (CEO),false
Kipp Dc - Northeast Academy PCS,Kipp Dc PCS,Washington,345,,Yes under Community Eligibility Option (CEO),true
Kipp Dc - Pride Academy PCS,Kipp Dc PCS,Washington,212,,Yes under Community Eligibility Option (CEO),false
Kipp Dc - Promise Academy PCS,Kipp Dc PCS,Washington,614,,Yes under Community Eligibility Option (CEO),false
Kipp Dc - Quest Academy PCS,Kipp Dc PCS,Washington,388,,Yes under Community Eligibility Option (CEO),false
Kipp Dc - Spring Academy PCS,Kipp Dc PCS,Washington,371,,Yes under Community Eligibility Option (CEO),false
Kipp Dc - Valor Academy PCS,Kipp Dc PCS,Washington,340,,Yes under Community Eligibility Option (CEO),true
Kipp Dc - Will Academy PCS,Kipp Dc PCS,Washington,341,,Yes under Community Eligibility Option (CEO),true
Kipp Dc PCS - Legacy College Preparatory PCS,Kipp Dc PCS,Washington,646,,Yes under Community Eligibility Option (CEO),false
Kramer MS,District of Columbia Public Schools,Washington,213,,Yes under Community Eligibility Option (CEO),true
Lafayette ES,District of Columbia Public Schools,Washington,923,,Yes participating without using any Provision or the CEO,false
Langdon ES,District of Columbia Public Schools,Washington,377,,Yes under Community Eligibility Option (CEO),false
Langley ES,District of Columbia Public Schools,Washington,348,,Yes under Community Eligibility Option (CEO),false
