school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Hutchison High School,Fairbanks North Star Borough School District,Fairbanks,356,89,Yes participating without using any Provision or the CEO
Hydaburg School,Hydaburg City School District,Hydaburg,76,76,Yes under Community Eligibility Option (CEO)
Iditarod Elementary,Matanuska-Susitna Borough School District,Wasilla,424,306,Yes under Community Eligibility Option (CEO)
Igiugig School,Lake and Peninsula Borough School District,Igiugig,20,17,Yes under Community Eligibility Option (CEO)
Inlet View Elementary,Anchorage School District,Anchorage,190,51,Yes participating without using any Provision or the CEO
Innoko River School,Iditarod Area School District,Shageluk,32,,No
Interior Distance Education of Alaska (Idea),Galena City School District,Fairbanks,7876,,No
Jack Egnaty Sr. School,Kuspuk School District,Sleetmute,19,9,Yes under Community Eligibility Option (CEO)
James C. Isabell School,Bering Strait School District,Teller,67,68,Yes under Community Eligibility Option (CEO)
Jeffery A. Bader Memorial School,Iditarod Area School District,Holy Cross,17,,No
Jimmy Huntington School,Yukon-Koyukuk School District,Huslia,88,80,Yes under Community Eligibility Option (CEO)
Joann A. Alexie Memorial School,Lower Kuskokwim School District,Atmautluak,121,123,Yes under Community Eligibility Option (CEO)
Joe Redington Senior Jr/Sr High School,Matanuska-Susitna Borough School District,Wasilla,497,226,Yes under Community Eligibility Option (CEO)
John Fredson School,Yukon Flats School District,Venetie,32,26,Yes under Community Eligibility Option (CEO)
John Shaw Elementary,Matanuska-Susitna Borough School District,Wasilla,507,209,Yes participating without using any Provision or the CEO
Johnnie John Sr. School,Kuspuk School District,Crooked Creek,22,24,Yes under Community Eligibility Option (CEO)
Johnny Oldman School,Yukon-Koyukuk School District,Hughes,29,25,Yes under Community Eligibility Option (CEO)
Johnson Youth Center,Juneau Borough School District,Juneau,10,,No
Joseph S. & Olinga Gregory Elementary,Kuspuk School District,Kalskag,46,47,Yes under Community Eligibility Option (CEO)
June Nelson Elementary,Northwest Arctic Borough School District,Kotzebue,302,251,Yes under Community Eligibility Option (CEO)
Juneau Community Charter School,Juneau Borough School District,Juneau,71,10,Yes participating without using any Provision or the CEO
Juneau-Douglas High School: Yadaa.at Kale,Juneau Borough School District,Juneau,1018,138,Yes participating without using any Provision or the CEO
Kachemak Selo School,Kenai Peninsula Borough School District,Kachemak,30,,No
Kake Elementary & High School,Kake City School District,Kake,117,106,Yes under Community Eligibility Option (CEO)
Kaleidoscope School of Arts & Science,Kenai Peninsula Borough School District,Kenai,205,79,Yes participating without using any Provision or the CEO
Kali School,North Slope Borough School District,Point Lay,75,39,Yes under Community Eligibility Option (CEO)
Kalifornsky Beach Elementary,Kenai Peninsula Borough School District,Soldotna,384,173,Yes participating without using any Provision or the CEO
Kaltag School,Yukon-Koyukuk School District,Kaltag,24,27,Yes under Community Eligibility Option (CEO)
Kasuun Elementary,Anchorage School District,Anchorage,343,173,Yes under Community Eligibility Option (CEO)
Kax_dig_oowu Heen Elementary School,Juneau Borough School District,Juneau,290,79,Yes participating without using any Provision or the CEO
Keet Gooshi Heen Elementary,Sitka School District,Sitka,275,101,Yes participating without using any Provision or the CEO
Kenai Alternative High School,Kenai Peninsula Borough School District,Kenai,45,32,Yes participating without using any Provision or the CEO
Kenai Central High School,Kenai Peninsula Borough School District,Kenai,525,189,Yes participating without using any Provision or the CEO
Kenai Middle School,Kenai Peninsula Borough School District,Kenai,408,177,Yes participating without using any Provision or the CEO
Kenny Lake School,Copper River School District,Copper Center,52,,No
Ket'Acik/Aapalluk Memorial School,Lower Kuskokwim School District,Kwethluk,255,255,Yes under Community Eligibility Option (CEO)
Ketchikan Charter School,Ketchikan Gateway Borough School District,Ketchikan,190,107,Yes participating without using any Provision or the CEO
Ketchikan High School,Ketchikan Gateway Borough School District,Ketchikan,551,149,Yes participating without using any Provision or the CEO
Kiana School,Northwest Arctic Borough School District,Kiana,91,91,Yes under Community Eligibility Option (CEO)
Kiita Learning Community,North Slope Borough School District,Utqiagvik,39,16,Yes under Community Eligibility Option (CEO)
Kincaid Elementary,Anchorage School District,Anchorage,322,85,Yes participating without using any Provision or the CEO
King Cove School,Aleutians East Borough School District,King Cove,67,,No
Kisimgiugtuq School,Northwest Arctic Borough School District,Kivalina,150,130,Yes under Community Eligibility Option (CEO)
Klatt Elementary,Anchorage School District,Anchorage,294,185,Yes under Community Eligibility Option (CEO)
Klawock City School,Klawock City School District,Klawock,127,120,Yes under Community Eligibility Option (CEO)
Klukwan School,Chatham School District,Klukwan,21,,No
Knik Charter Correspondence School,Matanuska-Susitna Borough School District,Wasilla,34,,No
Knik Charter School,Matanuska-Susitna Borough School District,Wasilla,189,203,Yes under Community Eligibility Option (CEO)
Knik Elementary School,Matanuska-Susitna Borough School District,Wasilla,263,127,Yes participating without using any Provision or the CEO
Kobuk School,Northwest Arctic Borough School District,Kobuk,42,42,Yes under Community Eligibility Option (CEO)
Kodiak High School,Kodiak Island Borough School District,Kodiak,579,397,Yes participating without using any Provision or the CEO
Kodiak Middle School,Kodiak Island Borough School District,Kodiak,401,223,Yes participating without using any Provision or the CEO
Kokhanok School,Lake and Peninsula Borough School District,Kokhanok,40,42,Yes under Community Eligibility Option (CEO)
Koliganek School,Southwest Region School District,Koliganek,60,59,Yes under Community Eligibility Option (CEO)
Kotlik School,Lower Yukon School District,Kotlik,180,172,Yes under Community Eligibility Option (CEO)
Kotzebue Middle/High School,Northwest Arctic Borough School District,Kotzebue,299,252,Yes under Community Eligibility Option (CEO)
Koyuk-Malimiut School,Bering Strait School District,Koyuk,101,102,Yes under Community Eligibility Option (CEO)
Kuinerrarmiut Elitnaurviat,Lower Kuskokwim School District,Quinhagak,175,182,Yes under Community Eligibility Option (CEO)
Kuskokwim Learning Academy,Lower Kuskokwim School District,Bethel,49,50,Yes under Community Eligibility Option (CEO)
Kwigillingok School,Lower Kuskokwim School District,Kwigillingok,112,116,Yes under Community Eligibility Option (CEO)
Ladd Elementary,Fairbanks North Star Borough School District,Fairbanks,383,131,Yes participating without using any Provision or the CEO
Lake Hood Elementary,Anchorage School District,Anchorage,185,98,Yes participating without using any Provision or the CEO
Lake Otis Elementary,Anchorage School District,Anchorage,264,214,Yes under Community Eligibility Option (CEO)
Lakeview Home School,Lake and Peninsula Borough School District,King Salmon,8,,No
Larson Elementary,Matanuska-Susitna Borough School District,Wasilla,319,150,Yes participating without using any Provision or the CEO
Lathrop High School,Fairbanks North Star Borough School District,Fairbanks,788,254,Yes participating without using any Provision or the CEO
Lead Correspondence,Yakutat School District,Yakutat,21,,No
Levelock School,Lake and Peninsula Borough School District,Levelock,12,14,Yes under Community Eligibility Option (CEO)
Lewis Angapak Memorial School,Lower Kuskokwim School District,Tuntutuliak,131,131,Yes under Community Eligibility Option (CEO)
Main Elementary,Kodiak Island Borough School District,Kodiak,177,109,Yes participating without using any Provision or the CEO
Manokotak School,Southwest Region School District,Manokotak,139,137,Yes under Community Eligibility Option (CEO)
Marathon School,Kenai Peninsula Borough School District,Kenai,8,,No
Marshall School,Lower Yukon School District,Marshall,128,123,Yes under Community Eligibility Option (CEO)
Martin L. Olson School,Bering Strait School District,Golovin,39,19,Yes under Community Eligibility Option (CEO)
Martin Luther King Jr. Technical High School,Anchorage School District,Anchorage,124,,No
Mat-Su Career & Tech Ed High School,Matanuska-Susitna Borough School District,Wasilla,705,176,Yes participating without using any Provision or the CEO
Mat-Su Central School,Matanuska-Susitna Borough School District,Wasilla,2780,,No
Mat-Su Day School,Matanuska-Susitna Borough School District,Wasilla,70,27,Yes participating without using any Provision or the CEO
Mat-Su Middle College School,Matanuska-Susitna Borough School District,Palmer,222,45,Yes participating without using any Provision or the CEO
Mat-Su Secondary School,Matanuska-Susitna Borough School District,Palmer,10,,No
Maudrey J. Sommer School,Yukon-Koyukuk School District,Tanana,24,24,Yes under Community Eligibility Option (CEO)
McGrath School,Iditarod Area School District,McGrath,36,,No
McLaughlin Secondary School,Anchorage School District,Anchorage,77,,No
McNeil Canyon Elementary,Kenai Peninsula Borough School District,Homer,144,68,Yes participating without using any Provision or the CEO
Meade River School,North Slope Borough School District,Atqasuk,86,42,Yes under Community Eligibility Option (CEO)
Meadow Lakes Elementary,Matanuska-Susitna Borough School District,Wasilla,308,203,Yes under Community Eligibility Option (CEO)
Mendenhall River Community School,Juneau Borough School District,Juneau,308,64,Yes participating without using any Provision or the CEO
Mentasta Lake School,Alaska Gateway School District,Mentasta Lake,26,29,Yes under Community Eligibility Option (CEO)
Merreline a Kangas School,Yukon-Koyukuk School District,Ruby,24,13,Yes under Community Eligibility Option (CEO)
Mertarvik School,Lower Kuskokwim School District,Mertarvik,82,83,Yes under Community Eligibility Option (CEO)
