school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Moultonborough Central School,Moultonborough School District,Moultonboro,245,50,Yes participating without using any Provision or the CEO
Moultonborough Middle Level,Moultonborough School District,Moultonborough,109,24,Yes participating without using any Provision or the CEO
Mountain View Middle School,Goffstown School District,Goffstown,880,124,Yes participating without using any Provision or the CEO
Mountain Village Charter School,Mountain Village Charter School,Plymouth,117,16,No
Mountainside Intermediate School,Conway School District,Conway,251,115,Yes participating without using any Provision or the CEO
Mt. Caesar Elementary School,Monadnock Regional School District,E. Swanzey,268,99,Yes participating without using any Provision or the CEO
Mt. Lebanon School,Lebanon School District,W. Lebanon,246,77,Yes participating without using any Provision or the CEO
Mt. Pleasant School,Nashua School District,Nashua,250,170,Yes participating without using any Provision or the CEO
Nashua High School North,Nashua School District,Nashua,1543,603,Yes participating without using any Provision or the CEO
Nashua High School South,Nashua School District,Nashua,1686,518,Yes participating without using any Provision or the CEO
Nelson Elementary School,Nelson School District,Nelson,58,11,Yes participating without using any Provision or the CEO
New Boston Central School,New Boston School District,New Boston,459,35,Yes participating without using any Provision or the CEO
New Durham Elementary School,Governor Wentworth Regional School District,New Durham,144,34,Yes participating without using any Provision or the CEO
New Franklin School,Portsmouth School District,Portsmouth,247,49,Yes participating without using any Provision or the CEO
New Hampton Community School,Newfound Area School District,New Hampton,93,33,Yes participating without using any Provision or the CEO
New Searles School,Nashua School District,Nashua,256,60,Yes participating without using any Provision or the CEO
Newfields Elementary School,Newfields School District,Newfields,115,4,No
Newfound Memorial Middle School,Newfound Area School District,Bristol,296,104,Yes participating without using any Provision or the CEO
Newfound Regional High School,Newfound Area School District,Bristol,357,109,Yes participating without using any Provision or the CEO
Newington Public School,Newington School District,Newington,43,4,Yes participating without using any Provision or the CEO
Newmarket Elementary School,Newmarket School District,Newmarket,474,99,Yes participating without using any Provision or the CEO
Newmarket Jr.-Sr. High (Elem),Newmarket School District,Newmarket,225,39,Yes participating without using any Provision or the CEO
Newmarket Jr.-Sr. High School,Newmarket School District,Newmarket,274,53,Yes participating without using any Provision or the CEO
Newport Middle High School (High),Newport School District,Newport,291,105,Yes participating without using any Provision or the CEO
Newport Middle School,Newport School District,Newport,138,78,Yes participating without using any Provision or the CEO
Newport Soar High School,Newport School District,Newport,7,,No
Newport Soar Middle School,Newport School District,Newport,3,,No
Next Charter School,Next Charter School,Derry,79,16,Yes participating without using any Provision or the CEO
North Country Charter Academy (H),North Country Charter Academy,Littleton,45,32,No
North Country Charter Academy (M),North Country Charter Academy,Littleton,5,,No
North Hampton School,North Hampton School District,North Hampton,268,9,Yes participating without using any Provision or the CEO
North Londonderry Elementary School,Londonderry School District,Londonderry,451,51,Yes participating without using any Provision or the CEO
North Salem Elementary School,Salem School District,Salem,353,32,Yes participating without using any Provision or the CEO
North Walpole School,Fall Mountain Regional School District,North Walpole,82,18,Yes participating without using any Provision or the CEO
Northeast Woodland Chartered Public School,Northeast Woodland Chartered Public School,Conway,172,33,No
Northwest Elementary School,Manchester School District,Manchester,487,241,Yes participating without using any Provision or the CEO
Northwood Elementary School,Northwood School District,Northwood,413,72,Yes participating without using any Provision or the CEO
Nottingham Elementary School,Nottingham School District,Nottingham,527,48,Yes participating without using any Provision or the CEO
Nottingham West Elementary Pre School,Hudson School District,Hudson,96,19,Yes participating without using any Provision or the CEO
Nottingham West Elementary School,Hudson School District,Hudson,457,83,Yes participating without using any Provision or the CEO
Nute High School,Milton School District,Milton,166,69,Yes participating without using any Provision or the CEO
Nute Junior High School,Milton School District,Milton,105,51,Yes participating without using any Provision or the CEO
Ossipee Central School,Governor Wentworth Regional School District,Ctr. Ossipee,276,145,Yes participating without using any Provision or the CEO
Oyster River High School,Oyster River Coop School District,Durham,825,61,Yes participating without using any Provision or the CEO
Oyster River Middle School,Oyster River Coop School District,Durham,585,61,Yes participating without using any Provision or the CEO
Oyster River Preschool Education Program,Oyster River Coop School District,Durham,30,3,Yes participating without using any Provision or the CEO
Parker-Varney School,Manchester School District,Manchester,406,215,Yes participating without using any Provision or the CEO
