school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Frenchboro Elementary School,Frenchboro Public Schools,Frenchboro,2,,No
Friendship Village School,Rsu 40/Msad 40,Friendship,62,28,Yes participating without using any Provision or the CEO
Fruit Street School,Bangor Public Schools,Bangor,310,113,Yes under Community Eligibility Option (CEO)
G Herbert Jewett School,Rsu 25,Bucksport,98,54,Yes participating without using any Provision or the CEO
Gardiner Area High School,Rsu 11/Msad 11,Gardiner,565,260,Yes under Provision 2
Gardiner Regional Middle School,Rsu 11/Msad 11,Gardiner,425,154,Yes under Provision 2
Garret Schenck School,Rsu 74/Msad 74,Anson,82,62,Yes under Community Eligibility Option (CEO)
George B Weatherbee School,Rsu 22,Hampden,381,91,Yes participating without using any Provision or the CEO
George E Jack School,Rsu 06/Msad 06,Standish,140,56,Yes under Provision 2
George J Mitchell School,Waterville Public Schools,Waterville,532,393,Yes participating without using any Provision or the CEO
Georgetown Central School,Georgetown Public Schools,Georgetown,51,21,Yes under Provision 2
Gerald D Cushing School,Rsu 09,Wilton,101,53,Yes under Provision 2
Gerald E Talbot Community School,Portland Public Schools,Portland,394,279,Yes under Community Eligibility Option (CEO)
Gladys Weymouth Elem School,Rsu 71,Morrill,79,50,Yes under Community Eligibility Option (CEO)
Glenburn Elementary School,Glenburn Public Schools,Glenburn,381,113,Yes participating without using any Provision or the CEO
Gorham High School,Gorham Public Schools,Gorham,812,172,Yes participating without using any Provision or the CEO
Gorham Middle School,Gorham Public Schools,Gorham,718,171,Yes participating without using any Provision or the CEO
Governor John Fairfield School,Saco Public Schools,Saco,268,106,Yes under Provision 2
Granite Street School,Millinocket Public Schools,Millinocket,209,144,Yes under Provision 2
Gray-New Gloucester High School,Rsu 15/Msad 15,Gray,573,216,Yes under Provision 2
Gray-New Gloucester Middle School,Rsu 15/Msad 15,Gray,519,191,Yes under Provision 2
Great Falls Elementary School,Gorham Public Schools,Gorham,429,101,Yes participating without using any Provision or the CEO
Great Salt Bay Community School,Great Salt Bay CSD,Damariscotta,397,156,Yes under Provision 2
Greely High School,Rsu 51/Msad 51,Cumberland,615,49,Yes under Provision 2
Greely Middle School,Rsu 51/Msad 51,Cumberland,515,43,Yes under Provision 2
Greely Middle School 4-5,Rsu 51/Msad 51,Cumberland,375,24,Yes under Provision 2
Greene Central School,Rsu 52/Msad 52,Greene,339,131,Yes under Provision 2
Greenville Consolidated School,Greenville Public Schools,Greenville,177,59,Yes under Provision 2
Guy E Rowe School,Rsu 17/Msad 17,Norway,428,269,Yes under Provision 2
H B Emery Jr Memorial School,Rsu 06/Msad 06,Limington,211,104,Yes under Provision 2
Hall-Dale Elementary Sch,Rsu 02,Hallowell,311,118,Yes under Provision 2
Hall-Dale Middle and High School,Rsu 02,Farmingdale,496,188,Yes under Provision 2
Hampden Academy,Rsu 22,Hampden,767,192,Yes participating without using any Provision or the CEO
Hancock Grammar School,Hancock Public Schools,Hancock,188,124,Yes participating without using any Provision or the CEO
Hanson School,Rsu 60/Msad 60,Lebanon,267,109,Yes under Provision 2
Harmony Elementary,Harmony Public Schools,Harmony,57,37,Yes under Community Eligibility Option (CEO)
Harpswell Community School,Rsu 75/Msad 75,Harpswell,132,47,Yes under Provision 2
Harriet Beecher Stowe Elementary,Brunswick Public Schools,Brunswick,531,206,Yes under Provision 2
Harrington Elementary School,Rsu 37/Msad 37,Harrington,137,87,Yes participating without using any Provision or the CEO
Harrison Elementary,Rsu 17/Msad 17,Harrison,105,66,Yes under Provision 2
Harrison Lyseth Elem School,Portland Public Schools,Portland,489,184,Yes under Provision 2
Hartford-Sumner Elementary School,Rsu 10,Sumner,297,183,Yes under Community Eligibility Option (CEO)
Hebron Station School,Rsu 17/Msad 17,Hebron,103,33,Yes under Provision 2
Helen S Dunn Elementary School,Greenbush Public Schools,Greenbush,131,94,Yes participating without using any Provision or the CEO
Helen Thompson School,Rsu 11/Msad 11,West Gardiner,245,81,Yes under Provision 2
