school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Curvin-McCabe School,Pawtucket,Pawtucket,353,262,Yes under Community Eligibility Option (CEO)
Davies Career-Tech High School,Davies Career and Tech,Lincoln,898,529,Yes under Community Eligibility Option (CEO)
Davisville Middle School,North Kingstown,North Kingstown,477,176,Yes participating without using any Provision or the CEO
Dr. Edward Ricci School,North Providence,North Providence,378,227,Yes participating without using any Provision or the CEO
Dr. Jorge Alvarez HS,Providence,Providence,447,356,Yes under Community Eligibility Option (CEO)
Dunn's Corners School,Westerly,Westerly,264,89,Yes participating without using any Provision or the CEO
E-Cubed Academy,Providence,Providence,338,285,Yes under Community Eligibility Option (CEO)
Early Childhood Center,Johnston,Johnston,201,106,Yes participating without using any Provision or the CEO
East Greenwich High,East Greenwich,East Greenwich,742,92,Yes participating without using any Provision or the CEO
East Providence High,East Providence,East Providence,1691,892,Yes participating without using any Provision or the CEO
Eden Park School,Cranston,Cranston,243,162,Yes participating without using any Provision or the CEO
Edgewood Highland,Cranston,Cranston,276,186,Yes participating without using any Provision or the CEO
Edward Martin Middle,East Providence,East Providence,564,310,Yes participating without using any Provision or the CEO
Edward S. Rhodes School,Cranston,Cranston,287,132,Yes participating without using any Provision or the CEO
Elizabeth Baldwin School,Pawtucket,Pawtucket,320,273,Yes under Community Eligibility Option (CEO)
Ella Risk School,Central Falls,Central Falls,414,373,Yes under Community Eligibility Option (CEO)
Emma G. Whiteknact School,East Providence,East Providence,216,149,Yes participating without using any Provision or the CEO
Esek Hopkins Middle,Providence,Providence,398,354,Yes under Community Eligibility Option (CEO)
Excel Academy Rhode Island,Excel Academy Rhode Island,North Providence,312,249,Yes under Community Eligibility Option (CEO)
Exeter-West Greenwich Reg. Jr.,Exeter-West Greenwich,West Greenwich,256,48,Yes participating without using any Provision or the CEO
Exeter-West Greenwich Regional,Exeter-West Greenwich,West Greenwich,452,105,Yes participating without using any Provision or the CEO
Fallon Memorial School,Pawtucket,Pawtucket,520,383,Yes under Community Eligibility Option (CEO)
Fishing Cove El. School,North Kingstown,North Kingstown,346,108,Yes participating without using any Provision or the CEO
Flora S. Curtis School,Pawtucket,Pawtucket,331,173,Yes under Community Eligibility Option (CEO)
Fogarty Memorial,Glocester,North Scituate,318,56,Yes participating without using any Provision or the CEO
Forest Avenue School,Middletown,Middletown,304,109,Yes participating without using any Provision or the CEO
Forest Park El. School,North Kingstown,North Kingstown,264,65,Yes participating without using any Provision or the CEO
Fort Barton School,Tiverton,Tiverton,133,32,Yes participating without using any Provision or the CEO
Founders Academy,Beacon Charter School,Woonsocket,158,111,Yes participating without using any Provision or the CEO
Francis J. Varieur School,Pawtucket,Pawtucket,270,212,Yes under Community Eligibility Option (CEO)
Frank D. Spaziano Elem School,Providence,Providence,588,505,Yes under Community Eligibility Option (CEO)
Frank E. Thompson Middle,Newport,Newport,499,388,Yes under Community Eligibility Option (CEO)
Frenchtown School,East Greenwich,East Greenwich,273,35,Yes participating without using any Provision or the CEO
G. Harold Hunt School,Central Falls,Central Falls,162,139,Yes under Community Eligibility Option (CEO)
Garden City School,Cranston,Cranston,530,282,Yes participating without using any Provision or the CEO
Garvin Memorial,Cumberland,Cumberland,422,101,Yes participating without using any Provision or the CEO
Gaudet Learning Academy,Middletown,Middletown,259,105,Yes participating without using any Provision or the CEO
Gaudet Middle School,Middletown,Middletown,431,172,Yes participating without using any Provision or the CEO
George Hanaford School,East Greenwich,East Greenwich,276,25,Yes participating without using any Provision or the CEO
George J. Peters School,Cranston,Cranston,244,152,Yes participating without using any Provision or the CEO
George J. West El. School,Providence,Providence,502,469,Yes under Community Eligibility Option (CEO)
Gladstone Street School,Cranston,Cranston,402,356,Yes participating without using any Provision or the CEO
Glen Hills School,Cranston,Cranston,270,90,Yes participating without using any Provision or the CEO
Globe Park School,Woonsocket,Woonsocket,519,363,Yes under Community Eligibility Option (CEO)
Governor Christopher Delsesto,Providence,Providence,818,718,Yes under Community Eligibility Option (CEO)
Graniteville School,Johnston,Johnston,152,56,Yes participating without using any Provision or the CEO
Greenbush Elementary School,West Warwick,West Warwick,427,218,Yes under Community Eligibility Option (CEO)
Greenwood School,Warwick,Warwick,255,88,Yes participating without using any Provision or the CEO
Greystone School,North Providence,North Providence,303,128,Yes participating without using any Provision or the CEO
Guiteras School,Bristol Warren,Bristol,123,50,Yes participating without using any Provision or the CEO
Hamilton School,North Kingstown,North Kingstown,447,49,Yes participating without using any Provision or the CEO
Hampden Meadows School,Barrington,Barrington,471,60,Yes participating without using any Provision or the CEO
Harris School,Woonsocket,Woonsocket,371,262,Yes under Community Eligibility Option (CEO)
Harry Kizirian Elementary,Providence,Providence,434,388,Yes under Community Eligibility Option (CEO)
Henry J. Winters School,Pawtucket,Pawtucket,550,474,Yes under Community Eligibility Option (CEO)
Highlander Elementary Charter,Highlander,Providence,269,227,Yes under Community Eligibility Option (CEO)
Highlander Secondary Charter S,Highlander,Warren,340,297,Yes under Community Eligibility Option (CEO)
Holliman School,Warwick,Warwick,280,143,Yes participating without using any Provision or the CEO
Hope High School,Providence,Providence,775,659,Yes under Community Eligibility Option (CEO)
Hope Highlands Middle School,Cranston,Cranston,366,71,Yes participating without using any Provision or the CEO
Hope School,Scituate,Hope,163,42,Yes participating without using any Provision or the CEO
Hope Valley Elementary School,Chariho,Hope Valley,226,42,Yes participating without using any Provision or the CEO
Hopkins Hill School,Coventry,Coventry,323,153,Yes participating without using any Provision or the CEO
Howard Hathaway School,Portsmouth,Portsmouth,409,98,Yes participating without using any Provision or the CEO
Hoxsie School,Warwick,Warwick,278,154,Yes participating without using any Provision or the CEO
Hugh B. Bain Middle School,Cranston,Cranston,527,465,Yes participating without using any Provision or the CEO
Hugh Cole School,Bristol Warren,Warren,517,236,Yes participating without using any Provision or the CEO
International Charter School,International Charter,Pawtucket,377,250,Yes participating without using any Provision or the CEO
Jacqueline M. Walsh School,Pawtucket,Pawtucket,173,78,Yes under Community Eligibility Option (CEO)
James H. Eldredge School,East Greenwich,East Greenwich,307,30,Yes participating without using any Provision or the CEO
James L. McGuire School,North Providence,North Providence,384,187,Yes participating without using any Provision or the CEO
James R. D. Oldham School,East Providence,Riverside,210,101,Yes participating without using any Provision or the CEO
Jamestown School-Lawn,Jamestown,Jamestown,189,22,Yes participating without using any Provision or the CEO
Jamestown School-Melrose,Jamestown,Jamestown,207,20,Yes participating without using any Provision or the CEO
John F. Deering Middle,West Warwick,West Warwick,976,614,Yes under Community Eligibility Option (CEO)
John F. Horgan School,West Warwick,West Warwick,475,333,Yes under Community Eligibility Option (CEO)
John J. McLaughlin Cumberland,Cumberland,Cumberland,413,92,Yes participating without using any Provision or the CEO
Johnston Senior High,Johnston,Johnston,826,460,Yes participating without using any Provision or the CEO
Joseph A. Whelan School,North Providence,North Providence,252,148,Yes participating without using any Provision or the CEO
Joseph Jenks Middle School,Pawtucket,Pawtucket,697,561,Yes under Community Eligibility Option (CEO)
Joseph L. McCourt MS,Cumberland,Cumberland,482,215,Yes participating without using any Provision or the CEO
Kent Heights School,East Providence,East Providence,251,141,Yes participating without using any Provision or the CEO
Kevin K. Coleman School,Woonsocket,Woonsocket,256,172,Yes under Community Eligibility Option (CEO)
Kickemuit Middle School,Bristol Warren,Warren,633,248,Yes participating without using any Provision or the CEO
Kingston Hill Academy,Kingston Hill Academy,Saunderstown,260,49,Yes participating without using any Provision or the CEO
