school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Campfield Early Childhood Center,Baltimore County Public Schools,Baltimore,165,101,Yes under Community Eligibility Option (CEO)
Candlewood Elementary,Montgomery County Public Schools,Rockville,358,119,Yes participating without using any Provision or the CEO
Cannon Road Elementary,Montgomery County Public Schools,Silver Spring,388,226,Yes under Community Eligibility Option (CEO)
Cape St. Claire Elementary,Anne Arundel County Public Schools,Annapolis,660,97,Yes participating without using any Provision or the CEO
Capitol Heights Elementary,Prince George's County Public Schools,Capitol Heights,317,193,Yes participating without using any Provision or the CEO
Captain James E. Daly Elementary,Montgomery County Public Schools,Germantown,472,272,Yes under Community Eligibility Option (CEO)
Captain Walter Francis Duke Elementary,St. Mary's County Public Schools,Leonardtown,516,102,Yes participating without using any Provision or the CEO
Carderock Springs Elementary,Montgomery County Public Schools,Bethesda,363,20,Yes participating without using any Provision or the CEO
Carl Sandburg Center,Montgomery County Public Schools,Rockville,65,43,Yes under Community Eligibility Option (CEO)
Carmody Hills Elementary,Prince George's County Public Schools,Capitol Heights,389,363,Yes under Community Eligibility Option (CEO)
Carney Elementary,Baltimore County Public Schools,Baltimore,524,371,Yes under Community Eligibility Option (CEO)
Carole Highlands Elementary,Prince George's County Public Schools,Takoma Park,544,503,Yes under Community Eligibility Option (CEO)
Carrie Weedon Early Education Center,Anne Arundel County Public Schools,Galesville,58,35,Yes participating without using any Provision or the CEO
Carroll Creek Montessori Public Charter,Frederick County Public Schools,Frederick,317,87,Yes participating without using any Provision or the CEO
Carroll Manor Elementary,Frederick County Public Schools,Adamstown,530,164,Yes participating without using any Provision or the CEO
Carroll Manor Elementary,Baltimore County Public Schools,Baldwin,371,32,Yes under Community Eligibility Option (CEO)
Carroll Springs School,Carroll County Public Schools,Westminster,32,14,Yes participating without using any Provision or the CEO
Carrollton Elementary,Prince George's County Public Schools,New Carrollton,539,501,Yes under Community Eligibility Option (CEO)
Carrolltowne Elementary,Carroll County Public Schools,Sykesville,593,86,Yes participating without using any Provision or the CEO
Carter G Woodson Elementary,Somerset County Public Schools,Crisfield,512,394,Yes under Community Eligibility Option (CEO)
Carver Vocational-Technical High,Baltimore City Public Schools,Baltimore,1041,899,Yes under Community Eligibility Option (CEO)
Cascade Elementary,Washington County Public Schools,Cascade,137,83,Yes participating without using any Provision or the CEO
Cash Valley Elementary,Allegany County Public Schools,Lavale,266,166,Yes under Community Eligibility Option (CEO)
