school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Bayside High School,Pinellas,Clearwater,139,89,Yes under Community Eligibility Option (CEO)
Bayside High School,Brevard,Palm Bay,2122,1012,Yes participating without using any Provision or the CEO
Bayview Elementary School,Broward,Fort Lauderdale,530,95,Yes participating without using any Provision or the CEO
Bayview Elementary School,Duval,Jacksonville,367,225,Yes under Community Eligibility Option (CEO)
Beachland Elementary School,Indian River,Vero Beach,534,196,Yes participating without using any Provision or the CEO
Beachside Elementary School,Volusia,Daytona Beach,618,443,Yes under Community Eligibility Option (CEO)
Beachside High School,St. Johns,Saint Johns,2214,185,No
Beachside Montessori Village,Broward,Hollywood,718,156,Yes participating without using any Provision or the CEO
Beacon College Prep K-8,Miami-Dade,Opa Locka,424,274,Yes under Community Eligibility Option (CEO)
Beacon Cove Intermediate School,Palm Beach,Jupiter,603,75,Yes under Community Eligibility Option (CEO)
Beacon High School,Collier,Naples,214,105,Yes under Community Eligibility Option (CEO)
Bear Creek Elementary School,Pinellas,St Petersburg,237,173,Yes under Community Eligibility Option (CEO)
Bear Lake Elementary School,Seminole,Apopka,849,500,Yes participating without using any Provision or the CEO
Bear Lakes Middle School,Palm Beach,West Palm Beach,841,545,Yes under Community Eligibility Option (CEO)
Beauclerc Elementary School,Duval,Jacksonville,694,320,Yes under Community Eligibility Option (CEO)
Becoming Collegiate Academy,Duval,Jacksonville,205,205,Yes under Community Eligibility Option (CEO)
Bel-Aire Elementary School,Miami-Dade,Cutler Bay,324,207,Yes under Community Eligibility Option (CEO)
Belcher Elementary School,Pinellas,Clearwater,467,273,Yes under Community Eligibility Option (CEO)
Believers Academy,Palm Beach,West Palm Beach,96,49,Yes under Community Eligibility Option (CEO)
Bell Creek Academy,Hillsborough,Riverview,1125,95,Yes participating without using any Provision or the CEO
Bell Elementary School,Gilchrist,Bell,656,337,Yes under Community Eligibility Option (CEO)
Bell High School,Gilchrist,Bell,696,315,Yes under Community Eligibility Option (CEO)
Bella Citta,Polk,Bartow,1459,801,Yes under Community Eligibility Option (CEO)
Bellalago Charter Academy,Osceola,Kissimmee,1108,531,Yes under Community Eligibility Option (CEO)
Bellamy Elementary School,Hillsborough,Tampa,589,403,Yes under Community Eligibility Option (CEO)
Belle Glade Elementary School,Palm Beach,Belle Glade,548,447,Yes under Community Eligibility Option (CEO)
Belle Terre Elementary School,Flagler,Palm Coast,1288,515,Yes under Community Eligibility Option (CEO)
Belleair Elementary School,Pinellas,Clearwater,455,339,Yes under Community Eligibility Option (CEO)
Belleview Elementary School,Marion,Belleview,681,459,Yes under Community Eligibility Option (CEO)
Belleview High School,Marion,Belleview,1904,871,Yes under Community Eligibility Option (CEO)
Belleview Middle School,Marion,Belleview,1600,813,Yes under Community Eligibility Option (CEO)
Belleview-Santos Elementary School,Marion,Belleview,663,419,Yes under Community Eligibility Option (CEO)
Bellview Elementary School,Escambia,Pensacola,513,357,Yes under Community Eligibility Option (CEO)
Bellview Middle School,Escambia,Pensacola,719,475,Yes under Community Eligibility Option (CEO)
Belmont Academy,Columbia,Lake City,828,319,Yes participating without using any Provision or the CEO
Belmont Elementary School,Hillsborough,Sun City Center,776,392,Yes under Community Eligibility Option (CEO)
Belvedere Elementary School,Palm Beach,West Palm Beach,467,331,Yes under Community Eligibility Option (CEO)
Ben Gamla Charter School,Broward,Hollywood,360,123,Yes participating without using any Provision or the CEO
Ben Gamla Charter School,Miami-Dade,Miami,165,66,Yes participating without using any Provision or the CEO
Ben Gamla Charter School North Campus,Broward,Hollywood,288,91,Yes participating without using any Provision or the CEO
Ben Gamla Charter School South Broward,Broward,Miami,295,216,Yes participating without using any Provision or the CEO
Ben Gamla-Palm Beach,Palm Beach,Boynton Beach,229,67,Yes under Community Eligibility Option (CEO)
Ben Sheppard Elementary School,Miami-Dade,Hialeah,927,586,Yes under Community Eligibility Option (CEO)
Benito Middle School,Hillsborough,Tampa,903,259,Yes under Community Eligibility Option (CEO)
Benjamin Franklin K-8 Center,Miami-Dade,North Miami,548,361,Yes under Community Eligibility Option (CEO)
Bennett C Russell Elementary School,Santa Rosa,Milton,899,542,Yes participating without using any Provision or the CEO
Bennett Elementary School,Broward,Fort Lauderdale,294,182,Yes under Community Eligibility Option (CEO)
Benoist Farms Elementary School,Palm Beach,West Palm Beach,430,283,Yes under Community Eligibility Option (CEO)
Bent Tree Elementary School,Miami-Dade,Miami,430,204,Yes under Community Eligibility Option (CEO)
Bentley Elementary School,Seminole,Sanford,903,624,Yes participating without using any Provision or the CEO
Berkley Accelerated,Polk,Auburndale,622,191,Yes participating without using any Provision or the CEO
Berkley Elementary School,Polk,Auburndale,696,249,Yes participating without using any Provision or the CEO
Berkshire Elementary School,Palm Beach,West Palm Beach,1076,674,Yes under Community Eligibility Option (CEO)
Berryhill Elementary School,Santa Rosa,Milton,802,425,Yes participating without using any Provision or the CEO
Bessey Creek Elementary School,Martin,Palm City,594,133,Yes participating without using any Provision or the CEO
Beta,Orange,Orlando,50,37,Yes under Community Eligibility Option (CEO)
Bethlehem High School,Holmes,Bonifay,363,228,Yes under Community Eligibility Option (CEO)
Bethune Academy,Polk,Haines City,430,335,Yes under Community Eligibility Option (CEO)
Beulah Academy of Science,Escambia,Pensacola,318,90,Yes participating without using any Provision or the CEO
Beulah Elementary School,Escambia,Pensacola,889,453,Yes participating without using any Provision or the CEO
Beulah Middle School,Escambia,Pensacola,1070,519,Yes under Community Eligibility Option (CEO)
Beverly Shores Elementary School,Lake,Leesburg,596,373,Yes under Community Eligibility Option (CEO)
Bevis Elementary School,Hillsborough,Lithia,826,125,Yes participating without using any Provision or the CEO
Bexley Elementary School,Pasco,Land O Lakes,1114,192,Yes under Community Eligibility Option (CEO)
Big Bend Academy of Math and Science,Hillsborough,Riverview,18,3,Yes participating without using any Provision or the CEO
Big Cypress Elementary School,Collier,Naples,796,428,Yes participating without using any Provision or the CEO
Big Pine Academy,Monroe,Big Pine Key,89,13,Yes participating without using any Provision or the CEO
Bill Duncan Opportunity Center,Polk,Lakeland,87,76,Yes under Community Eligibility Option (CEO)
Biltmore Elementary School,Duval,Jacksonville,206,153,Yes under Community Eligibility Option (CEO)
Bing Elementary School,Hillsborough,Tampa,480,340,Yes under Community Eligibility Option (CEO)
Binks Forest Elementary School,Palm Beach,Wellington,1246,172,Yes under Community Eligibility Option (CEO)
Biotech@richmond Heights 9-12 High School,Miami-Dade,Miami,297,96,Yes under Community Eligibility Option (CEO)
Biscayne Beach Elementary School,Miami-Dade,Miami Beach,525,286,Yes under Community Eligibility Option (CEO)
Biscayne Elementary School,Duval,Jacksonville,818,451,Yes under Community Eligibility Option (CEO)
Biscayne High School,Duval,Jacksonville,217,135,No
Blackburn Elementary School,Manatee,Palmetto,452,360,Yes under Community Eligibility Option (CEO)
Blake High School,Hillsborough,Tampa,1608,811,Yes under Community Eligibility Option (CEO)
Blanche Ely High School,Broward,Pompano Beach,1877,946,Yes under Community Eligibility Option (CEO)
