school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program
Pownal Elementary School,Southwest Vermont Union Elementary School District #87,Pownal,249,206,Yes under Community Eligibility Option (CEO)
Proctor Elementary School,Quarry Valley Unified Union School District #70,Proctor,134,74,Yes under Community Eligibility Option (CEO)
Proctor Junior/Senior High School,Quarry Valley Unified Union School District #70,Proctor,116,59,Yes under Community Eligibility Option (CEO)
Prosper Valley School,Mountain Views Unified Union School District #76,South Pomfret,90,21,Yes under Community Eligibility Option (CEO)
Putney Central School,Windham Southeast Unified Union School District #96,Putney,192,76,Yes under Community Eligibility Option (CEO)
Randolph Elementary School,Orange Southwest Unified Union School District #59,Randolph,289,143,Yes under Community Eligibility Option (CEO)
Randolph Union High School,Orange Southwest Unified Union School District #59,Randolph,344,147,Yes under Community Eligibility Option (CEO)
Reading Elementary School,Mountain Views Unified Union School District #76,Reading,34,11,Yes under Community Eligibility Option (CEO)
Readsboro Elementary School,Readsboro School District,Readsboro,38,14,Yes under Community Eligibility Option (CEO)
Richford Elementary School,Enosburgh-Richford Unified Union School District #88,Richford,187,147,Yes under Community Eligibility Option (CEO)
Richford Junior/Senior High School,Enosburgh-Richford Unified Union School District #88,Richford,217,146,Yes under Community Eligibility Option (CEO)
Richmond Elementary School,Mount Mansfield Unified Union School District #401,Richmond,356,60,Yes under Provision 2
Rick Marcotte Central School,South Burlington School District,South Burlington,378,120,Yes under Community Eligibility Option (CEO)
Ripton Elementary School,Addison Central Unified Union School District #55,Ripton,39,13,Yes under Community Eligibility Option (CEO)
Rivendell Academy,Rivendell Interstate School District,Orford,209,113,Yes under Community Eligibility Option (CEO)
Riverside Middle School,Springfield School District,Springfield,247,163,Yes under Community Eligibility Option (CEO)
Robinson School,Mt. Abraham Unified School District #61,Starksboro,121,58,Yes under Community Eligibility Option (CEO)
Rochester School,Rochester Stockbridge Unified School District #81,Rochester,85,54,Yes under Community Eligibility Option (CEO)
Rumney Memorial School,Washington Central Unified Union School District #92,Middlesex,114,50,Yes under Community Eligibility Option (CEO)
Rutland Intermediate School,Rutland City School District,Rutland,504,409,Yes under Community Eligibility Option (CEO)
Rutland Middle School,Rutland City School District,Rutland,249,195,Yes under Community Eligibility Option (CEO)
Rutland Senior High School,Rutland City School District,Rutland,721,465,Yes under Community Eligibility Option (CEO)
Rutland Town Elementary School,Rutland Town School District,Rutland Town,379,116,Yes under Community Eligibility Option (CEO)
Salisbury Community School,Addison Central Unified Union School District #55,Salisbury,62,34,Yes under Community Eligibility Option (CEO)
Samuel Morey Elementary School,Rivendell Interstate School District,Fairlee,108,50,Yes under Community Eligibility Option (CEO)
Saxton River Elementary School,Rockingham School District,Saxtons River,79,45,Yes under Community Eligibility Option (CEO)
Shaftsbury Elementary School,Southwest Vermont Union Elementary School District #87,Shaftsbury,245,187,Yes under Community Eligibility Option (CEO)
Sharon Elementary School,Sharon School District,Sharon,156,84,Yes under Community Eligibility Option (CEO)
Shelburne Community School,Champlain Valley Unified Union School District #56,Shelburne,788,145,Yes under Provision 2
Sheldon Elementary School,Northern Mountain Valley Unified Union School District #85,Sheldon,337,156,Yes under Community Eligibility Option (CEO)
Shoreham Elementary School,Addison Central Unified Union School District #55,Shoreham,56,21,Yes under Community Eligibility Option (CEO)
Shrewsbury Mountain School,Mill River Unified Union School District #52,Cuttingsville,72,29,Yes under Community Eligibility Option (CEO)
Smilie Memorial Elementary School,Mount Mansfield Unified Union School District #401,Bolton,69,24,Yes under Community Eligibility Option (CEO)
South Burlington High School,South Burlington School District,South Burlington,793,231,Yes under Community Eligibility Option (CEO)
South Royalton Elementary School,White River Unified School District #79,South Royalton,168,86,Yes under Community Eligibility Option (CEO)
Spaulding Union High School,Barre Unified Union School District #97,Barre,610,279,Yes under Community Eligibility Option (CEO)
Springfield High School,Springfield School District,Springfield,306,183,Yes under Community Eligibility Option (CEO)
St. Albans City Elementary School,Maple Run Unified Union School District #57,Saint Albans,681,446,Yes under Community Eligibility Option (CEO)
St. Albans Town Educational Center,Maple Run Unified Union School District #57,Saint Albans,754,357,Yes under Community Eligibility Option (CEO)
St. Johnsbury School,Saint Johnsbury School District,Saint Johnsbury,1030,645,Yes under Community Eligibility Option (CEO)
Stamford Elementary School,Stamford School District,Stramford,78,28,Yes under Community Eligibility Option (CEO)
Stockbridge Central School,Rochester Stockbridge Unified School District #81,Stockbridge,45,22,Yes under Community Eligibility Option (CEO)
