school_name,district_name,city_name,total_students,frl_eligible_students,national_school_lunch_program,admin_approved
Bowling Green High School,Bowling Green Independent,Bowling Green,1377,699,Yes under Community Eligibility Option (CEO),true
Bowling Green Junior High,Bowling Green Independent,Bowling Green,1042,572,Yes under Community Eligibility Option (CEO),true
Bowling Green Learning Center,Bowling Green Independent,Bowling Green,30,25,Yes under Community Eligibility Option (CEO),true
Boyd Co Early Childhood Academy,Boyd County,Ashland,230,166,Yes under Community Eligibility Option (CEO),false
Boyd County Central School,Boyd County,Ashland,18,16,Yes under Community Eligibility Option (CEO),true
Boyd County High School,Boyd County,Ashland,888,469,Yes under Community Eligibility Option (CEO),true
Boyd County Middle School,Boyd County,Ashland,618,352,Yes under Community Eligibility Option (CEO),true
Boyle County High School,Boyle County,Danville,869,393,Yes participating without using any Provision or the CEO,true
Boyle County Middle School,Boyle County,Danville,655,326,Yes participating without using any Provision or the CEO,false
Boys & Girls Haven,Jefferson County,Louisville,20,13,Yes participating without using any Provision or the CEO,false
Bracken County High School,Bracken County,Brooksville,377,205,Yes under Community Eligibility Option (CEO),true
Bracken County Middle School,Bracken County,Brooksville,266,155,Yes under Community Eligibility Option (CEO),true
Brandeis Elementary,Jefferson County,Louisville,420,216,Yes under Community Eligibility Option (CEO),false
Breathitt County High School,Breathitt County,Jackson,669,465,Yes under Community Eligibility Option (CEO),true
Breathitt Elementary,Breathitt County,Jackson,371,274,Yes under Community Eligibility Option (CEO),false
Breathitt Learning Academy,Breathitt County,Jackson,18,12,Yes under Community Eligibility Option (CEO),true
Breathitt Regional School,Breathitt County,Jackson,36,10,Yes under Community Eligibility Option (CEO),true
Breckinridge County High School,Breckinridge County,Harned,875,472,Yes under Community Eligibility Option (CEO),true
Breckinridge County Middle School,Breckinridge County,Harned,532,323,Yes under Community Eligibility Option (CEO),true
Breckinridge Metropolitan High,Jefferson County,Louisville,84,64,Yes under Community Eligibility Option (CEO),true
Breckinridge-Franklin Elementary,Jefferson County,Louisville,399,313,Yes under Community Eligibility Option (CEO),false
Bremen Elementary School,Muhlenberg County,Bremen,369,227,Yes under Community Eligibility Option (CEO),false
Brenda Cowan Elementary,Fayette County,Lexington,586,263,Yes under Community Eligibility Option (CEO),false
Briarwood Elementary School,Warren County,Bowling Green,685,476,Yes under Community Eligibility Option (CEO),false
Bridgeport Elementary School,Franklin County,Frankfort,402,263,Yes under Community Eligibility Option (CEO),false
Bristow Elementary,Warren County,Bowling Green,699,488,Yes under Community Eligibility Option (CEO),false
Brodhead Elementary School,Rockcastle County,Brodhead,493,334,Yes under Community Eligibility Option (CEO),false
Brooklawn,Jefferson County,Louisville,28,16,Yes participating without using any Provision or the CEO,true
Brooks Elementary School,Bullitt County,Brooks,444,313,Yes under Community Eligibility Option (CEO),false
Brookside Elementary School,Jessamine County,Nicholasville,515,303,Yes under Community Eligibility Option (CEO),false
Browning Springs Middle School,Hopkins County,Madisonville,443,269,Yes under Community Eligibility Option (CEO),true
Bryan Station High School,Fayette County,Lexington,2030,1253,Yes under Community Eligibility Option (CEO),true
Bryan Station Middle School,Fayette County,Lexington,744,435,Yes under Community Eligibility Option (CEO),true
Buckhorn School,Perry County,Buckhorn,320,259,Yes under Community Eligibility Option (CEO),true
Buckner Alternative High School,Oldham County,Buckner,50,34,Yes participating without using any Provision or the CEO,true
Buckner Elementary School,Oldham County,Buckner,620,99,Yes participating without using any Provision or the CEO,false
Bullitt Alternative Center,Bullitt County,Shepherdsville,34,28,Yes participating without using any Provision or the CEO,true
Bullitt Central High School,Bullitt County,Shepherdsville,1293,740,Yes participating without using any Provision or the CEO,true
Bullitt East High School,Bullitt County,Mount Washington,1664,521,Yes participating without using any Provision or the CEO,false
Bullitt Lick Middle School,Bullitt County,Shepherdsville,423,287,Yes under Community Eligibility Option (CEO),true
Burgin Independent School,Burgin Independent,Burgin,525,250,Yes under Community Eligibility Option (CEO),true
Burlington Elementary School,Boone County,Burlington,689,321,Yes under Community Eligibility Option (CEO),false
